context_id,input_query,s3_path,environment_original,weather_condition_original,vehicle_type_original,vehicle_count_original,vegetation_amount_original,objects_of_interest_original,mask,s3_lora_uri,lora_trigger_word,split
1eac0929-544e-4243-8427-63b454a4aac4,A rural road with moderate vegetation and rainy weather conditions features few motorcycles and a single car prominently in the scene.,9c17e493-6dc0-43c1-ad52-18dcf38d2328/8d247c42-1dd2-4426-9c87-196e6eaf0cae/Synthetic/1eac0929-544e-4243-8427-63b454a4aac4_flux_1789157019.png,rural roads,rainy,motorcycles,few vehicles,moderate vegetation,car,,,,train
e39e0da7-6033-46de-b50c-ca8185694eef,"An urban road scene with a few motorcycles visible in the rainy weather, surrounded by dense vegetation, and a car is the primary object of interest.",9c17e493-6dc0-43c1-ad52-18dcf38d2328/8d247c42-1dd2-4426-9c87-196e6eaf0cae/Synthetic/e39e0da7-6033-46de-b50c-ca8185694eef_flux_1789157034.png,urban roads,rainy,motorcycles,few vehicles,dense vegetation,car,,,,train
82389a70-c25e-4adc-8c73-a166a8ac97f7,A sunny day on a rural road with moderate vegetation where a single car is visible and a motorcycle is the primary object of interest.,9c17e493-6dc0-43c1-ad52-18dcf38d2328/8d247c42-1dd2-4426-9c87-196e6eaf0cae/Synthetic/82389a70-c25e-4adc-8c73-a166a8ac97f7_flux_1789157026.png,rural roads,sunny,cars,single vehicle,moderate vegetation,motorcycle,,,,train
ad91b613-c295-465a-8746-b09b71bce9b8,"An urban road scene during rainy weather with few cars present, dense vegetation lining the sides, and a motorcycle as the primary point of interest.",9c17e493-6dc0-43c1-ad52-18dcf38d2328/8d247c42-1dd2-4426-9c87-196e6eaf0cae/Synthetic/ad91b613-c295-465a-8746-b09b71bce9b8_flux_1789157048.png,urban roads,rainy,cars,few vehicles,dense vegetation,motorcycle,,,,train
e407b529-d3d9-4569-b201-29e9e90fd585,A rural road with few cars and sparse vegetation is visible under rainy conditions; the objects of interest are a motorcycle present on the scene.,9c17e493-6dc0-43c1-ad52-18dcf38d2328/8d247c42-1dd2-4426-9c87-196e6eaf0cae/Synthetic/e407b529-d3d9-4569-b201-29e9e90fd585_flux_1789157030.png,rural roads,rainy,cars,few vehicles,sparse vegetation,motorcycle,,,,train
19e6398b-ca49-4b84-aade-8371abe41d59,"On an urban road in rainy weather, there are few motorcycles present with sparse vegetation nearby, and a car is the primary object of interest.",9c17e493-6dc0-43c1-ad52-18dcf38d2328/8d247c42-1dd2-4426-9c87-196e6eaf0cae/Synthetic/19e6398b-ca49-4b84-aade-8371abe41d59_flux_1789157037.png,urban roads,rainy,motorcycles,few vehicles,sparse vegetation,car,,,,train
07c39321-a8bb-4ee5-b1f3-7da7eaff5267,"On an urban road under sunny weather conditions, a few motorcycles are visible while sparse vegetation is present, with a bicycle being the notable object of interest.",9c17e493-6dc0-43c1-ad52-18dcf38d2328/8d247c42-1dd2-4426-9c87-196e6eaf0cae/Synthetic/07c39321-a8bb-4ee5-b1f3-7da7eaff5267_flux_1789157023.png,urban roads,sunny,motorcycles,few vehicles,sparse vegetation,bicycle,,,,train
d3068279-f6df-42bf-91d7-77a1429f6f04,"In a foggy urban road environment, many motorcycles are visible, dense vegetation lines the surroundings, and a car stands out as the primary object of interest.",9c17e493-6dc0-43c1-ad52-18dcf38d2328/8d247c42-1dd2-4426-9c87-196e6eaf0cae/Synthetic/d3068279-f6df-42bf-91d7-77a1429f6f04_flux_1789157045.png,urban roads,foggy,motorcycles,many vehicles,dense vegetation,car,,,,train
331c0101-6e9f-4fb4-90a5-595db9c2a8cb,An urban road scene under sunny weather with few motorcycles present; the environment features sparse vegetation and the primary object of interest is a car.,9c17e493-6dc0-43c1-ad52-18dcf38d2328/8d247c42-1dd2-4426-9c87-196e6eaf0cae/Synthetic/331c0101-6e9f-4fb4-90a5-595db9c2a8cb_flux_1789157041.png,urban roads,sunny,motorcycles,few vehicles,sparse vegetation,car,,,,test
c38bda6f-def3-453f-8cc5-80ddf9fcf1b1,"A foggy urban road scene with many cars densely packed and thick vegetation on the sides, a bicycle is also visible in the foreground.",9c17e493-6dc0-43c1-ad52-18dcf38d2328/8d247c42-1dd2-4426-9c87-196e6eaf0cae/Synthetic/c38bda6f-def3-453f-8cc5-80ddf9fcf1b1_flux_1789157016.png,urban roads,foggy,cars,many vehicles,dense vegetation,bicycle,,,,test
