context_id,input_query,s3_path,environment_original,weather_condition_original,visibility_original,vehicle_type_original,vehicle_count_original,region_original,pavement_color_original,truck_count_original,truck_color_original,vehicle_color_original,image_angle_original,objects_of_interest_original,mask,s3_lora_uri,lora_trigger_word,split
3fa73564-7af2-424c-8355-04937d83a322,"A foggy rural highway in the northeast USA with hazy visibility and gray pavement, featuring a moderate number of varied-colored SUVs and one red Ford F150 truck at street level, serving as the primary point of interest.",f5ddba02-4295-48d9-8ad5-ba8583871323/bc6ba36c-aa02-4630-a0ea-4150b9b69e36/Synthetic/3fa73564-7af2-424c-8355-04937d83a322_flux_1789424310.png,rural highways,foggy,hazy,SUVs,moderate number of vehicles,northeast USA,gray,one truck (Ford F150),red,varied colors,street-level,truck,,s3://auto-lora/f5ddba02-4295-48d9-8ad5-ba8583871323/1466b03e-841d-4c45-975e-c6900af67662/lora_weights.safetensors,$txc,train
e20a4238-de51-4369-830a-e994e1d574ce,"An overhead view of a foggy urban highway in the southwest USA with hazy visibility and gray pavement, featuring very few varied-colored SUVs and one red Ford F150 truck.",f5ddba02-4295-48d9-8ad5-ba8583871323/bc6ba36c-aa02-4630-a0ea-4150b9b69e36/Synthetic/e20a4238-de51-4369-830a-e994e1d574ce_flux_1789424662.png,urban highways,foggy,hazy,SUVs,very few vehicles,southwest USA,gray,one truck (Ford F150),red,varied colors,overhead,car,,s3://auto-lora/f5ddba02-4295-48d9-8ad5-ba8583871323/1466b03e-841d-4c45-975e-c6900af67662/lora_weights.safetensors,$txc,train
7d448133-69ed-43a5-9deb-dd974814a651,"A rural highway in the southwest USA with a high density of vehicles, including a white Ford F150 truck, under sunny but hazy conditions; the street-level view shows gray pavement and variously colored cars and trucks, with one white Ford F150 standing out; a motorcycle is also visible in the scene.",f5ddba02-4295-48d9-8ad5-ba8583871323/bc6ba36c-aa02-4630-a0ea-4150b9b69e36/Synthetic/7d448133-69ed-43a5-9deb-dd974814a651_flux_1789424563.png,rural highways,sunny,hazy,trucks (Ford F150),high density of vehicles,southwest USA,gray,one truck (Ford F150),white,varied colors,street-level,motorcycle,,s3://auto-lora/f5ddba02-4295-48d9-8ad5-ba8583871323/1466b03e-841d-4c45-975e-c6900af67662/lora_weights.safetensors,$txc,train
d5f04948-4775-456e-86bf-169058df4c51,"An urban highway in the southeast USA with gray pavement, visible in a hazy, rainy environment from street level; very few vehicles are present, including varied-colored motorcycles and one blue Ford F150 truck, with cars being the primary objects of interest.",f5ddba02-4295-48d9-8ad5-ba8583871323/bc6ba36c-aa02-4630-a0ea-4150b9b69e36/Synthetic/d5f04948-4775-456e-86bf-169058df4c51_flux_1789426124.png,urban highways,rainy,hazy,motorcycles,very few vehicles,southeast USA,gray,one truck (Ford F150),blue,varied colors,street-level,car,,s3://auto-lora/f5ddba02-4295-48d9-8ad5-ba8583871323/1466b03e-841d-4c45-975e-c6900af67662/lora_weights.safetensors,$txc,train
c4b74337-92cd-431a-ad87-c699c6490fbf,"An overhead view of a foggy urban highway in the southwest USA with red-brown pavement, very few motorcycles, one red Ford F150 truck, and varied motorcycle colors.",f5ddba02-4295-48d9-8ad5-ba8583871323/bc6ba36c-aa02-4630-a0ea-4150b9b69e36/Synthetic/c4b74337-92cd-431a-ad87-c699c6490fbf_flux_1789422949.png,urban highways,foggy,clear,motorcycles,very few vehicles,southwest USA,red-brown,one truck (Ford F150),red,varied colors,overhead,truck,,s3://auto-lora/f5ddba02-4295-48d9-8ad5-ba8583871323/1466b03e-841d-4c45-975e-c6900af67662/lora_weights.safetensors,$txc,train
8fc749d2-963f-4487-90ae-b351a9889277,"A rural highway in the southwest USA with a hazy sunny sky, red-brown pavement, and very few motorcycles visible at street level; one gray Ford F150 truck is also present, and motorcycles come in varied colors.",f5ddba02-4295-48d9-8ad5-ba8583871323/bc6ba36c-aa02-4630-a0ea-4150b9b69e36/Synthetic/8fc749d2-963f-4487-90ae-b351a9889277_flux_1789424780.png,rural highways,sunny,hazy,motorcycles,very few vehicles,southwest USA,red-brown,one truck (Ford F150),gray,varied colors,street-level,motorcycle,,s3://auto-lora/f5ddba02-4295-48d9-8ad5-ba8583871323/1466b03e-841d-4c45-975e-c6900af67662/lora_weights.safetensors,$txc,train
7b672dba-dd31-43bb-8075-4bffcca39594,"An overhead view of a rural highway in the northeast USA with gray pavement, sunny weather, and active precipitation; very few sedans are visible, one blue Ford F150 truck is present, and varied vehicle colors are noted, with a motorcycle as the object of interest.",f5ddba02-4295-48d9-8ad5-ba8583871323/bc6ba36c-aa02-4630-a0ea-4150b9b69e36/Synthetic/7b672dba-dd31-43bb-8075-4bffcca39594_flux_1789422800.png,rural highways,sunny,active precipitation,sedans,very few vehicles,northeast USA,gray,one truck (Ford F150),blue,varied colors,overhead,motorcycle,,s3://auto-lora/f5ddba02-4295-48d9-8ad5-ba8583871323/1466b03e-841d-4c45-975e-c6900af67662/lora_weights.safetensors,$txc,train
3b669dce-07f2-49e3-a539-1c854ad2918e,"A foggy rural highway in the northeast USA with gray pavement and moderate number of vehicles, including one white Ford F150 truck, at street level; visibility is clear.",f5ddba02-4295-48d9-8ad5-ba8583871323/bc6ba36c-aa02-4630-a0ea-4150b9b69e36/Synthetic/3b669dce-07f2-49e3-a539-1c854ad2918e_flux_1789424526.png,rural highways,foggy,clear,trucks (Ford F150),moderate number of vehicles,northeast USA,gray,one truck (Ford F150),white,varied colors,street-level,car,,s3://auto-lora/f5ddba02-4295-48d9-8ad5-ba8583871323/1466b03e-841d-4c45-975e-c6900af67662/lora_weights.safetensors,$txc,train
be2ebb63-f7fa-4c2c-aaf0-193429c1664c,"An overhead view of a rural highway in the southwest USA with gray pavement, foggy weather and active precipitation, showing very few vehicles including varied colored motorcycles and one blue Ford F150 truck, with a focus on an approaching car.",f5ddba02-4295-48d9-8ad5-ba8583871323/bc6ba36c-aa02-4630-a0ea-4150b9b69e36/Synthetic/be2ebb63-f7fa-4c2c-aaf0-193429c1664c_flux_1789426050.png,rural highways,foggy,active precipitation,motorcycles,very few vehicles,southwest USA,gray,one truck (Ford F150),blue,varied colors,overhead,car,,s3://auto-lora/f5ddba02-4295-48d9-8ad5-ba8583871323/1466b03e-841d-4c45-975e-c6900af67662/lora_weights.safetensors,$txc,train
838db186-e911-44e8-8eea-5e058f6d5633,"An overhead view of rural highways in the southwest USA with foggy weather and clear visibility, showing very few vehicles including varied colored buses and one red Ford F150 truck, with a motorcycle also visible as an object of interest on the gray pavement.",f5ddba02-4295-48d9-8ad5-ba8583871323/bc6ba36c-aa02-4630-a0ea-4150b9b69e36/Synthetic/838db186-e911-44e8-8eea-5e058f6d5633_flux_1789423098.png,rural highways,foggy,clear,buses,very few vehicles,southwest USA,gray,one truck (Ford F150),red,varied colors,overhead,motorcycle,,s3://auto-lora/f5ddba02-4295-48d9-8ad5-ba8583871323/1466b03e-841d-4c45-975e-c6900af67662/lora_weights.safetensors,$txc,train
